bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
1693,Brooklyn McMahon,paroli,100.0,100000.0,50000.0,1202,2,0.0,106500.0,106500.0,6500.0
1694,Jakob Herring,paroli,100.0,100000.0,50000.0,1126,0,0.0,87500.0,87500.0,-12500.0
1695,Denver Maldonado,paroli,100.0,100000.0,50000.0,1160,0,0.0,98400.0,98400.0,-1600.0
1696,Javier Ventura,paroli,100.0,100000.0,50000.0,1132,1,0.0,93700.0,93700.0,-6300.0
1697,Zora Barnes,paroli,100.0,100000.0,50000.0,1116,1,0.0,82200.0,82200.0,-17800.0
1698,Damian Schultz,paroli,100.0,100000.0,50000.0,1188,2,0.0,101800.0,101800.0,1800.0
1699,Briella Villanueva,paroli,100.0,100000.0,50000.0,1142,1,0.0,96700.0,96700.0,-3300.0
1700,Huxley Compton,paroli,100.0,100000.0,50000.0,1162,0,0.0,96000.0,96000.0,-4000.0
1701,Elina Webster,paroli,100.0,100000.0,50000.0,1101,0,0.0,85000.0,85000.0,-15000.0
1702,Shawn Tucker,paroli,100.0,100000.0,50000.0,1220,0,0.0,108400.0,108400.0,8400.0
1703,Esther Gardner,paroli,100.0,100000.0,50000.0,1104,2,0.0,83800.0,83800.0,-16200.0
1704,Alan Dixon,paroli,100.0,100000.0,50000.0,1158,0,0.0,95000.0,95000.0,-5000.0
1705,Blakely Vance,paroli,100.0,100000.0,50000.0,1202,2,0.0,103200.0,103200.0,3200.0
1706,Casen Olsen,paroli,100.0,100000.0,50000.0,1161,0,0.0,97200.0,97200.0,-2800.0
1707,Oaklyn Anthony,paroli,100.0,100000.0,50000.0,1224,4,0.0,111000.0,111000.0,11000.0
1708,Shiloh Turner,paroli,100.0,100000.0,50000.0,1134,1,0.0,96400.0,96400.0,-3600.0
1709,Brooklyn Fry,paroli,100.0,100000.0,50000.0,1124,0,0.0,92100.0,92100.0,-7900.0
1710,Jacoby Boyle,paroli,100.0,100000.0,50000.0,1143,0,0.0,97200.0,97200.0,-2800.0
1711,Aliya Maldonado,paroli,100.0,100000.0,50000.0,1140,2,0.0,92500.0,92500.0,-7500.0
1712,Javier Hubbard,paroli,100.0,100000.0,50000.0,1116,1,0.0,86400.0,86400.0,-13600.0
1713,Rosie Livingston,paroli,100.0,100000.0,50000.0,1130,0,0.0,92900.0,92900.0,-7100.0
1714,Ambrose Moreno,paroli,100.0,100000.0,50000.0,1166,0,0.0,95600.0,95600.0,-4400.0
1715,Mary Gilmore,paroli,100.0,100000.0,50000.0,1143,0,0.0,94600.0,94600.0,-5400.0
1716,Vihaan Chambers,paroli,100.0,100000.0,50000.0,1193,1,0.0,101700.0,101700.0,1700.0
1717,Makayla Medrano,paroli,100.0,100000.0,50000.0,1169,0,0.0,100400.0,100400.0,400.0
1718,Arian Parrish,paroli,100.0,100000.0,50000.0,1230,1,0.0,107700.0,107700.0,7700.0
1719,Tiana Liu,paroli,100.0,100000.0,50000.0,1110,0,0.0,92400.0,92400.0,-7600.0
1720,Pedro Pineda,paroli,100.0,100000.0,50000.0,1153,1,0.0,95500.0,95500.0,-4500.0
1721,Nola Valencia,paroli,100.0,100000.0,50000.0,1120,1,0.0,89300.0,89300.0,-10700.0
1722,Dax Kim,paroli,100.0,100000.0,50000.0,1130,1,0.0,90200.0,90200.0,-9800.0
1723,Gabriella Burton,paroli,100.0,100000.0,50000.0,1146,1,0.0,92500.0,92500.0,-7500.0
1724,Zander Bartlett,paroli,100.0,100000.0,50000.0,1158,1,0.0,94200.0,94200.0,-5800.0
1725,Aubrielle Randolph,paroli,100.0,100000.0,50000.0,1162,0,0.0,98600.0,98600.0,-1400.0
1726,Eugene Bridges,paroli,100.0,100000.0,50000.0,1151,1,0.0,98600.0,98600.0,-1400.0
1727,Elora Yates,paroli,100.0,100000.0,50000.0,1169,1,0.0,92700.0,92700.0,-7300.0
1728,Braylon Santiago,paroli,100.0,100000.0,50000.0,1137,1,0.0,94400.0,94400.0,-5600.0
1729,Nyla Eaton,paroli,100.0,100000.0,50000.0,1169,1,0.0,100100.0,100100.0,100.0
1730,Leighton Lara,paroli,100.0,100000.0,50000.0,1173,0,0.0,99900.0,99900.0,-100.0
1731,Heidi Griffin,paroli,100.0,100000.0,50000.0,1116,1,0.0,87900.0,87900.0,-12100.0
1732,Ayden Stuart,paroli,100.0,100000.0,50000.0,1152,1,0.0,94200.0,94200.0,-5800.0
1733,Stormi Hansen,paroli,100.0,100000.0,50000.0,1166,1,0.0,93700.0,93700.0,-6300.0
1734,Charlie Quintero,paroli,100.0,100000.0,50000.0,1136,2,0.0,94800.0,94800.0,-5200.0
1735,Keyla Wall,paroli,100.0,100000.0,50000.0,1182,1,0.0,103300.0,103300.0,3300.0
1736,Issac Sloan,paroli,100.0,100000.0,50000.0,1181,0,0.0,98500.0,98500.0,-1500.0
1737,Selene Fernandez,paroli,100.0,100000.0,50000.0,1122,0,0.0,89300.0,89300.0,-10700.0
1738,Bentley Howard,paroli,100.0,100000.0,50000.0,1139,0,0.0,92000.0,92000.0,-8000.0
1739,Sophie French,paroli,100.0,100000.0,50000.0,1133,2,0.0,94900.0,94900.0,-5100.0
1740,Corey Ahmed,paroli,100.0,100000.0,50000.0,1162,3,0.0,97000.0,97000.0,-3000.0
1741,Jolie Vega,paroli,100.0,100000.0,50000.0,1140,0,0.0,88200.0,88200.0,-11800.0
1742,Aidan Stephenson,paroli,100.0,100000.0,50000.0,1157,2,0.0,95700.0,95700.0,-4300.0
1743,Khaleesi Vasquez,paroli,100.0,100000.0,50000.0,1141,0,0.0,90200.0,90200.0,-9800.0
1744,Rowan McIntyre,paroli,100.0,100000.0,50000.0,1146,0,0.0,97300.0,97300.0,-2700.0
1745,Rebekah Marin,paroli,100.0,100000.0,50000.0,1145,1,0.0,95400.0,95400.0,-4600.0
1746,Aldo Barber,paroli,100.0,100000.0,50000.0,1124,1,0.0,92400.0,92400.0,-7600.0
1747,Cassidy Howe,paroli,100.0,100000.0,50000.0,1122,0,0.0,91000.0,91000.0,-9000.0
1748,Alaric Liu,paroli,100.0,100000.0,50000.0,1094,1,0.0,83300.0,83300.0,-16700.0
1749,Kate Huber,paroli,100.0,100000.0,50000.0,1166,0,0.0,98700.0,98700.0,-1300.0
1750,Mac Reid,paroli,100.0,100000.0,50000.0,1174,2,0.0,99000.0,99000.0,-1000.0
1751,Charlee Simpson,paroli,100.0,100000.0,50000.0,1134,0,0.0,90500.0,90500.0,-9500.0
1752,Elliott Black,paroli,100.0,100000.0,50000.0,1187,0,0.0,107600.0,107600.0,7600.0
1753,Molly Molina,paroli,100.0,100000.0,50000.0,1117,1,0.0,90600.0,90600.0,-9400.0
1754,Prince Haley,paroli,100.0,100000.0,50000.0,1138,0,0.0,88000.0,88000.0,-12000.0
1755,Addilynn Dennis,paroli,100.0,100000.0,50000.0,1171,1,0.0,103100.0,103100.0,3100.0
1756,Emanuel Perry,paroli,100.0,100000.0,50000.0,1107,0,0.0,83100.0,83100.0,-16900.0
1757,Clara Bailey,paroli,100.0,100000.0,50000.0,1120,1,0.0,89600.0,89600.0,-10400.0
1758,Axel Fitzgerald,paroli,100.0,100000.0,50000.0,1130,1,0.0,90700.0,90700.0,-9300.0
1759,Marlee Lin,paroli,100.0,100000.0,50000.0,1154,2,0.0,97600.0,97600.0,-2400.0
1760,Conor Kent,paroli,100.0,100000.0,50000.0,1132,1,0.0,90600.0,90600.0,-9400.0
1761,Jazmine Curtis,paroli,100.0,100000.0,50000.0,1181,1,0.0,98700.0,98700.0,-1300.0
1762,Muhammad Osborne,paroli,100.0,100000.0,50000.0,1174,1,0.0,101100.0,101100.0,1100.0
1763,Shelby Garrett,paroli,100.0,100000.0,50000.0,1116,0,0.0,87100.0,87100.0,-12900.0
1764,Kairo Shaw,paroli,100.0,100000.0,50000.0,1217,2,0.0,112200.0,112200.0,12200.0
1765,Emersyn Pugh,paroli,100.0,100000.0,50000.0,1141,2,0.0,90100.0,90100.0,-9900.0
