bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
61,Amara Alexander,martingale,100.0,100000.0,50000.0,672,4,0.0,129400.0,129400.0,29400.0
62,Kingston Jordan,martingale,100.0,100000.0,50000.0,399,1,0.0,107800.0,107800.0,7800.0
63,Adalynn Magana,martingale,100.0,100000.0,50000.0,594,1,0.0,123600.0,123600.0,23600.0
64,Rey Truong,martingale,100.0,100000.0,50000.0,483,3,0.0,104100.0,104100.0,4100.0
65,Judith King,martingale,100.0,100000.0,50000.0,122,1,0.0,17000.0,17000.0,-83000.0
66,Julian Stark,martingale,100.0,100000.0,50000.0,499,1,0.0,111200.0,111200.0,11200.0
67,Kamilah Bryan,martingale,100.0,100000.0,50000.0,307,0,0.0,63100.0,63100.0,-36900.0
68,Jaxtyn Rodgers,martingale,100.0,100000.0,50000.0,328,2,0.0,89100.0,89100.0,-10900.0
69,Selah Stone,martingale,100.0,100000.0,50000.0,452,1,0.0,106500.0,106500.0,6500.0
70,Finn Francis,martingale,100.0,100000.0,50000.0,596,2,0.0,127500.0,127500.0,27500.0
71,Daniella Dillon,martingale,100.0,100000.0,50000.0,506,1,0.0,99700.0,99700.0,-300.0
72,Alvin Nicholson,martingale,100.0,100000.0,50000.0,481,1,0.0,112800.0,112800.0,12800.0
73,Justice Richard,martingale,100.0,100000.0,50000.0,496,1,0.0,121000.0,121000.0,21000.0
74,Ahmed Manning,martingale,100.0,100000.0,50000.0,192,2,0.0,59100.0,59100.0,-40900.0
75,Jennifer Levy,martingale,100.0,100000.0,50000.0,498,3,0.0,123900.0,123900.0,23900.0
76,Harold Welch,martingale,100.0,100000.0,50000.0,449,1,0.0,108400.0,108400.0,8400.0
77,Amira Boyer,martingale,100.0,100000.0,50000.0,573,2,0.0,125200.0,125200.0,25200.0
78,Zeke Fox,martingale,100.0,100000.0,50000.0,363,1,0.0,105100.0,105100.0,5100.0
79,Juliette Spence,martingale,100.0,100000.0,50000.0,154,1,0.0,38000.0,38000.0,-62000.0
80,Cillian Lamb,martingale,100.0,100000.0,50000.0,303,1,0.0,102900.0,102900.0,2900.0
81,Amaia Farrell,martingale,100.0,100000.0,50000.0,451,1,0.0,110800.0,110800.0,10800.0
82,Ty Hess,martingale,100.0,100000.0,50000.0,312,1,0.0,55600.0,55600.0,-44400.0
83,Kaliyah Burke,martingale,100.0,100000.0,50000.0,736,2,0.0,136500.0,136500.0,36500.0
84,Jax Huff,martingale,100.0,100000.0,50000.0,442,3,0.0,110100.0,110100.0,10100.0
85,Karsyn Dennis,martingale,100.0,100000.0,50000.0,134,1,0.0,44000.0,44000.0,-56000.0
86,Emanuel Howard,martingale,100.0,100000.0,50000.0,350,1,0.0,78700.0,78700.0,-21300.0
87,Sophie Evans,martingale,100.0,100000.0,50000.0,394,1,0.0,114200.0,114200.0,14200.0
88,Elias Kerr,martingale,100.0,100000.0,50000.0,346,1,0.0,68300.0,68300.0,-31700.0
89,Baylee Carr,martingale,100.0,100000.0,50000.0,678,1,0.0,127200.0,127200.0,27200.0
90,Kash Rodgers,martingale,100.0,100000.0,50000.0,387,1,0.0,71700.0,71700.0,-28300.0
91,Selah Hogan,martingale,100.0,100000.0,50000.0,432,1,0.0,96300.0,96300.0,-3700.0
92,Sonny Underwood,martingale,100.0,100000.0,50000.0,573,1,0.0,107400.0,107400.0,7400.0
93,Ensley Blankenship,martingale,100.0,100000.0,50000.0,352,3,0.0,81800.0,81800.0,-18200.0
94,Ernesto Barrett,martingale,100.0,100000.0,50000.0,397,3,0.0,87500.0,87500.0,-12500.0
95,Kendall Johns,martingale,100.0,100000.0,50000.0,794,2,0.0,141100.0,141100.0,41100.0
96,Joziah Simon,martingale,100.0,100000.0,50000.0,443,2,0.0,111800.0,111800.0,11800.0
97,Kalani Mullen,martingale,100.0,100000.0,50000.0,336,4,0.0,111600.0,111600.0,11600.0
98,Shepard Lang,martingale,100.0,100000.0,50000.0,325,3,0.0,103100.0,103100.0,3100.0
99,Amirah Velazquez,martingale,100.0,100000.0,50000.0,754,2,0.0,134500.0,134500.0,34500.0
100,Drew McPherson,martingale,100.0,100000.0,50000.0,702,1,0.0,128800.0,128800.0,28800.0
101,Emmaline Andrade,martingale,100.0,100000.0,50000.0,284,1,0.0,82700.0,82700.0,-17300.0
102,Abdiel Fowler,martingale,100.0,100000.0,50000.0,525,2,0.0,120300.0,120300.0,20300.0
103,Lennon Vega,martingale,100.0,100000.0,50000.0,383,3,0.0,110400.0,110400.0,10400.0
104,Aidan Lynn,martingale,100.0,100000.0,50000.0,483,1,0.0,85400.0,85400.0,-14600.0
105,Samira Carson,martingale,100.0,100000.0,50000.0,349,3,0.0,102900.0,102900.0,2900.0
106,Ares Hudson,martingale,100.0,100000.0,50000.0,104,1,0.0,12500.0,12500.0,-87500.0
107,Kamila Frost,martingale,100.0,100000.0,50000.0,372,1,0.0,106500.0,106500.0,6500.0
108,Dario Berger,martingale,100.0,100000.0,50000.0,392,1,0.0,80100.0,80100.0,-19900.0
109,Laylah Berry,martingale,100.0,100000.0,50000.0,59,1,0.0,7300.0,7300.0,-92700.0
110,Adonis Marquez,martingale,100.0,100000.0,50000.0,330,3,0.0,110300.0,110300.0,10300.0
111,Milani Lucero,martingale,100.0,100000.0,50000.0,569,3,0.0,126600.0,126600.0,26600.0
112,Felipe Holt,martingale,100.0,100000.0,50000.0,667,2,0.0,131700.0,131700.0,31700.0
113,Adelynn Yoder,martingale,100.0,100000.0,50000.0,326,4,0.0,112600.0,112600.0,12600.0
114,Johan Briggs,martingale,100.0,100000.0,50000.0,345,1,0.0,113800.0,113800.0,13800.0
115,Alia Campos,martingale,100.0,100000.0,50000.0,144,1,0.0,24200.0,24200.0,-75800.0
116,Gideon Simmons,martingale,100.0,100000.0,50000.0,598,5,0.0,122300.0,122300.0,22300.0
117,Reagan Palacios,martingale,100.0,100000.0,50000.0,130,2,0.0,62700.0,62700.0,-37300.0
118,Thaddeus Melton,martingale,100.0,100000.0,50000.0,247,3,0.0,78500.0,78500.0,-21500.0
119,Kamiyah Harrington,martingale,100.0,100000.0,50000.0,307,2,0.0,89700.0,89700.0,-10300.0
120,Omari Avalos,martingale,100.0,100000.0,50000.0,23,1,0.0,1600.0,1600.0,-98400.0
121,Paloma O’Connor,martingale,100.0,100000.0,50000.0,490,1,0.0,112200.0,112200.0,12200.0
122,Princeton Wu,martingale,100.0,100000.0,50000.0,163,1,0.0,29300.0,29300.0,-70700.0
123,Liana Rios,martingale,100.0,100000.0,50000.0,546,3,0.0,112900.0,112900.0,12900.0
124,Israel Skinner,martingale,100.0,100000.0,50000.0,524,1,0.0,113300.0,113300.0,13300.0
125,Mara Hobbs,martingale,100.0,100000.0,50000.0,532,1,0.0,122700.0,122700.0,22700.0
126,Brendan Huff,martingale,100.0,100000.0,50000.0,340,1,0.0,91000.0,91000.0,-9000.0
127,Karsyn Ho,martingale,100.0,100000.0,50000.0,518,2,0.0,112400.0,112400.0,12400.0
128,Morgan Best,martingale,100.0,100000.0,50000.0,266,1,0.0,77200.0,77200.0,-22800.0
129,Lexie Daugherty,martingale,100.0,100000.0,50000.0,10,1,0.0,0.0,0.0,-100000.0
