bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
1,Ellie Brooks,flat,100.0,100000.0,50000.0,1953,0,0.0,95300.0,95300.0,-4700.0
2,Jordan Payne,flat,100.0,100000.0,50000.0,1901,0,0.0,90100.0,90100.0,-9900.0
3,London Holloway,flat,100.0,100000.0,50000.0,2015,0,0.0,101500.0,101500.0,1500.0
4,Sutton Sanders,flat,100.0,100000.0,50000.0,1993,0,0.0,99300.0,99300.0,-700.0
5,Everleigh Dominguez,flat,100.0,100000.0,50000.0,1977,0,0.0,97700.0,97700.0,-2300.0
6,Kaden Castaneda,flat,100.0,100000.0,50000.0,1898,0,0.0,89800.0,89800.0,-10200.0
7,Keira Palacios,flat,100.0,100000.0,50000.0,1988,0,0.0,98800.0,98800.0,-1200.0
8,Thaddeus Pratt,flat,100.0,100000.0,50000.0,1976,0,0.0,97600.0,97600.0,-2400.0
9,Ailani Rogers,flat,100.0,100000.0,50000.0,1884,0,0.0,88400.0,88400.0,-11600.0
10,Colton Ramos,flat,100.0,100000.0,50000.0,1945,0,0.0,94500.0,94500.0,-5500.0
11,Alice Hull,flat,100.0,100000.0,50000.0,1988,0,0.0,98800.0,98800.0,-1200.0
12,Salem Jenkins,flat,100.0,100000.0,50000.0,1927,0,0.0,92700.0,92700.0,-7300.0
13,Rylee Farmer,flat,100.0,100000.0,50000.0,1913,0,0.0,91300.0,91300.0,-8700.0
14,Jamison Galvan,flat,100.0,100000.0,50000.0,1964,0,0.0,96400.0,96400.0,-3600.0
15,Dallas Steele,flat,100.0,100000.0,50000.0,1948,0,0.0,94800.0,94800.0,-5200.0
16,Elian Ortega,flat,100.0,100000.0,50000.0,1963,0,0.0,96300.0,96300.0,-3700.0
17,Lilah Lowery,flat,100.0,100000.0,50000.0,1937,0,0.0,93700.0,93700.0,-6300.0
18,Jaxxon Estrada,flat,100.0,100000.0,50000.0,1926,0,0.0,92600.0,92600.0,-7400.0
19,Sawyer Morrison,flat,100.0,100000.0,50000.0,1899,0,0.0,89900.0,89900.0,-10100.0
20,Maximus Wiggins,flat,100.0,100000.0,50000.0,1917,0,0.0,91700.0,91700.0,-8300.0
21,Capri Dalton,flat,100.0,100000.0,50000.0,1964,0,0.0,96400.0,96400.0,-3600.0
22,Fletcher Mann,flat,100.0,100000.0,50000.0,1917,0,0.0,91700.0,91700.0,-8300.0
23,Paislee McGuire,flat,100.0,100000.0,50000.0,1969,0,0.0,96900.0,96900.0,-3100.0
24,Casey Combs,flat,100.0,100000.0,50000.0,1951,0,0.0,95100.0,95100.0,-4900.0
25,Irene Wagner,flat,100.0,100000.0,50000.0,1929,0,0.0,92900.0,92900.0,-7100.0
26,Enzo McFarland,flat,100.0,100000.0,50000.0,2013,0,0.0,101300.0,101300.0,1300.0
27,Annika Deleon,flat,100.0,100000.0,50000.0,1975,0,0.0,97500.0,97500.0,-2500.0
28,Nasir Pineda,flat,100.0,100000.0,50000.0,1965,0,0.0,96500.0,96500.0,-3500.0
29,Nola Whitehead,flat,100.0,100000.0,50000.0,1937,0,0.0,93700.0,93700.0,-6300.0
